Economic Activity,Year, Value 
,1/1/2016," JOD 24,679.00 "
,1/1/2017," JOD 25,571.00 "
,1/1/2018," JOD 26,549.00 "
,1/1/2019," JOD 27,475.00 "
,1/1/2020," JOD 27,081.00 "
,1/1/2021," JOD 28,332.00 "
,1/1/2022," JOD 29,998.00 "
,1/1/2023," JOD 31,625.00 "
Gross Domestic Product at Market Prices,1/1/2008," JOD 16,080.00 "
,1/1/2009," JOD 17,422.00 "
,1/1/2010," JOD 19,265.00 "
,1/1/2011," JOD 20,962.00 "
,1/1/2012," JOD 22,461.00 "
,1/1/2013," JOD 24,463.00 "
,1/1/2014," JOD 26,162.00 "
,1/1/2015," JOD 27,397.00 "
,1/1/2016," JOD 28,324.00 "
,1/1/2017," JOD 29,542.00 "
,1/1/2018," JOD 30,793.00 "
,1/1/2019," JOD 31,597.00 "
,1/1/2020," JOD 31,027.00 "
,1/1/2021," JOD 32,870.00 "
,1/1/2022," JOD 34,623.00 "
,1/1/2023," JOD 36,273.00 "
Manufacturing,1/1/2008," JOD 3,402.00 "
,1/1/2009," JOD 3,507.00 "
,1/1/2010," JOD 3,646.00 "
,1/1/2011," JOD 4,047.00 "
,1/1/2012," JOD 4,220.00 "
,1/1/2013," JOD 4,716.00 "
,1/1/2014," JOD 4,931.00 "
,1/1/2015," JOD 5,030.00 "
,1/1/2016," JOD 5,100.00 "
,1/1/2017," JOD 5,317.00 "
,1/1/2018," JOD 5,447.00 "
,1/1/2019," JOD 5,551.00 "
,1/1/2020," JOD 5,320.00 "
,1/1/2021," JOD 5,556.00 "
,1/1/2022," JOD 5,937.00 "
,1/1/2023," JOD 6,270.00 "
Mining and quarrying,1/1/2008, JOD 669.00 
,1/1/2009, JOD 443.00 
,1/1/2010, JOD 496.00 
,1/1/2011, JOD 638.00 
,1/1/2012, JOD 574.00 
,1/1/2013, JOD 448.00 
,1/1/2014, JOD 536.00 
,1/1/2015, JOD 616.00 
,1/1/2016, JOD 514.00 
,1/1/2017, JOD 547.00 
,1/1/2018, JOD 597.00 
,1/1/2019, JOD 684.00 
,1/1/2020, JOD 665.00 
,1/1/2021, JOD 760.00 
,1/1/2022," JOD 1,052.00 "
,1/1/2023," JOD 1,170.00 "
Net Taxes on Products,1/1/2008," JOD 1,816.00 "
,1/1/2009," JOD 2,090.00 "
,1/1/2010," JOD 2,624.00 "
,1/1/2011," JOD 2,786.00 "
,1/1/2012," JOD 2,985.00 "
,1/1/2013," JOD 3,212.00 "
,1/1/2014," JOD 3,437.00 "
,1/1/2015," JOD 3,539.00 "
,1/1/2016," JOD 3,645.00 "
,1/1/2017," JOD 3,971.00 "
,1/1/2018," JOD 4,245.00 "
,1/1/2019," JOD 4,122.00 "
,1/1/2020," JOD 3,946.00 "
,1/1/2021," JOD 4,539.00 "
,1/1/2022," JOD 4,625.00 "
,1/1/2023," JOD 4,648.00 "
Transportation and storage,1/1/2008, JOD 738.00 
,1/1/2009, JOD 803.00 
,1/1/2010, JOD 938.00 
,1/1/2011," JOD 1,088.00 "
,1/1/2012," JOD 1,232.00 "
,1/1/2013," JOD 1,446.00 "
,1/1/2014," JOD 1,555.00 "
,1/1/2015," JOD 1,661.00 "
,1/1/2016," JOD 1,788.00 "
,1/1/2017," JOD 1,791.00 "
,1/1/2018," JOD 1,834.00 "
,1/1/2019," JOD 1,839.00 "
,1/1/2020," JOD 1,560.00 "
